,Unnamed: 0,Area,Year,category,subgroup1,subgroup2,subgroup3,item code,item,value,unit,Nitrogen Production (ktN)
1470680,1470680,France,2023,Vegetal surfaces,"Crops, primary","Treenuts, Total",,220,"Chestnuts, in shell",9080.0,ha,
1470681,1470681,France,2023,Vegetal surfaces,"Crops, primary","Treenuts, Total",,225,"Hazelnuts, in shell",7920.0,ha,
1470682,1470682,France,2023,Vegetal surfaces,"Crops, primary","Treenuts, Total",,234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",7030.0,ha,
1470683,1470683,France,2023,Vegetal surfaces,"Crops, primary","Treenuts, Total",,222,"Walnuts, in shell",26870.0,ha,
1470684,1470684,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,366,Artichokes,4100.0,ha,
1470685,1470685,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,367,Asparagus,6670.0,ha,
1470686,1470686,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,420,"Broad beans and horse beans, green",7090.0,ha,
1470687,1470687,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,358,Cabbages,7910.0,ha,
1470688,1470688,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,426,Carrots and turnips,15110.0,ha,
1470689,1470689,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,393,Cauliflowers and broccoli,15320.0,ha,
1470690,1470690,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1360.0,ha,
1470691,1470691,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,397,Cucumbers and gherkins,1710.0,ha,
1470692,1470692,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,399,Eggplants (aubergines),1410.0,ha,
1470693,1470693,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,406,Green garlic,4130.0,ha,
1470694,1470694,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,407,Leeks and other alliaceous vegetables,5360.0,ha,
1470695,1470695,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,372,Lettuce and chicory,16450.0,ha,
1470696,1470696,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,403,"Onions and shallots, dry (excluding dehydrated)",21780.0,ha,
1470697,1470697,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,414,"Other beans, green",26000.0,ha,
1470698,1470698,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,463,"Other vegetables, fresh n.e.c.",23850.0,ha,
1470699,1470699,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,417,"Peas, green",40150.0,ha,
1470700,1470700,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,394,"Pumpkins, squash and gourds",12520.0,ha,
1470701,1470701,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,373,Spinach,4400.0,ha,
1470702,1470702,France,2023,Vegetal surfaces,"Crops, primary",Vegetables Primary,,388,Tomatoes,5920.0,ha,
1470703,1470703,France,2023,Vegetal surfaces,"Crops, primary",,,1735,Other Vegetables Primary,21700.0,ha,
1470704,1470704,France,2023,Vegetal surfaces,"Crops, primary",,,677,Hop cones,550.0,ha,
1470705,1470705,France,2023,Vegetal surfaces,"Crops, primary",,,826,Unmanufactured tobacco,1060.0,ha,
